strategy,model,N,mean_TV,mean_unmapped_%,n_unmapped_fields,age,sex,edu,empl,b_loc,socio,parent,reg,civil,indust,e_type,housing,hh_sz,income,b_ctry
all_pick,claude_haiku,100,0.426,5.2,4,,,5,,,10,5,,,,,,1,,
all_pick,gemma4_e4b,100,0.487,0,0,,,,,,,,,,,,,,,
all_pick,llama31_8b,100,0.357,17.0,5,,,1,,,5,21,39,,,,19,,,
all_pick,lucie_7b,16,0.556,6.5,8,,1,8,3,,8,6,16,,,,9,1,,
all_pick,mistral_nemo_12b,100,0.413,3.8,4,,,1,1,,,11,,,,,2,,,
all_pick,qwen3_14b,100,0.459,16.7,6,,,2,3,,20,53,,,,,16,6,,
all_pick_dag,claude_haiku,100,0.49,7.8,4,,,13,,,12,2,,,,,4,,,
all_pick_dag,gemma4_e4b,100,0.493,21.7,3,,34,,,,,,30,,,,1,,,
all_pick_dag,llama31_8b,100,0.39,18.7,6,,,2,2,,18,40,18,,,,32,,,
all_pick_dag,mistral_nemo_12b,100,0.466,2.8,4,,,1,,,1,1,,,,,8,,,
all_generate_pick,claude_haiku,31,0.417,4.7,3,,,,,,4,5,,,,,,5,,
all_generate_pick,gemma4_e4b,100,0.456,7.4,7,,3,,1,,33,8,4,,,,1,2,,
all_generate_pick,llama31_8b,100,0.376,14.4,8,,4,2,11,,29,45,5,,,,18,1,,
all_generate_pick,mistral_nemo_12b,100,0.464,19.5,4,,,,,,2,21,,,,,51,4,,
all_generate_evaluate_pick,deepseek_r1_14b,20,0.453,4.9,7,,1,1,2,,8,12,1,,,,9,,,
all_generate_evaluate_pick,gemma4_e4b,100,0.419,17.3,6,,3,3,2,,45,40,,,,,11,,,
all_generate_evaluate_pick,llama31_8b,100,0.379,18.4,7,,7,1,16,,43,42,5,,,,15,,,
all_generate_evaluate_pick,mistral_nemo_12b,100,0.518,17.2,4,,,1,,,,6,,,,,59,3,,
all_generate_evaluate_pick,qwen3_14b,1,0.607,1.0,2,,1,,,,,1,,,,,,,,
all_generate_evaluate_random_pick,gemma4_e4b,100,0.333,18.7,7,,,6,9,,24,40,24,,,,24,4,,
all_generate_evaluate_random_pick,llama31_8b,100,0.354,29.4,8,,6,23,29,,58,48,27,,,,41,3,,
all_generate_evaluate_random_pick,mistral_nemo_12b,100,0.278,3.8,6,,,3,2,,1,1,3,,,,13,,,
